result_key,surface_power [wh],runtime [sec]
rectangle_25_a4,23188.83,1.57
rectangle_25_b1,22125.71,1.11
rectangle_25_b2,21659.43,96.95
rectangle_25_c1s,2587.0,1.29
rectangle_25_c1c,2586.0,1.29
rectangle_25_c1m,16595.23199999999,1.29
rectangle_25_c1s,2587.0,65.57
rectangle_25_c1c,2586.0,65.57
rectangle_25_c1m,16595.23199999999,65.57
rectangle_25_c2s,2587.0,1.16
rectangle_25_c2c,2586.0,1.16
rectangle_25_c2m,16595.23199999999,1.16
rectangle_25_c2s,2587.0,65.29
rectangle_25_c2c,2586.0,65.29
rectangle_25_c2m,16595.23199999999,65.29
rectangle_30_a1,6317.34,0.02
rectangle_30_a2,12985.63,0.16
rectangle_30_a3,19120.47,1.38
rectangle_30_a4,22121.2,1.32
rectangle_30_b1,22035.47,1.09
rectangle_30_b2,20558.91,92.13
rectangle_30_c1s,2587.0,1.3
rectangle_30_c1c,2586.0,1.3
rectangle_30_c1m,16526.165999999997,1.3
rectangle_30_c1s,2587.0,65.52
rectangle_30_c1c,2586.0,65.52
rectangle_30_c1m,16526.165999999997,65.52
rectangle_30_c2s,2587.0,1.17
rectangle_30_c2c,2586.0,1.17
rectangle_30_c2m,16526.165999999997,1.17
rectangle_30_c2s,2587.0,65.28
rectangle_30_c2c,2586.0,65.28
rectangle_30_c2m,16526.165999999997,65.28
rectangle_35_a1,5896.18,0.02
rectangle_35_a2,12704.86,0.16
rectangle_35_a3,17743.29,1.31
rectangle_35_a4,21419.98,1.3
rectangle_35_b1,16595.54,1.09
rectangle_35_b2,19302.8,99.58
rectangle_35_c1s,2587.0,1.56
rectangle_35_c1c,2586.0,1.56
rectangle_35_c1m,12425.548000000008,1.56
rectangle_35_c1s,2587.0,66.86
rectangle_35_c1c,2586.0,66.86
rectangle_35_c1m,12425.548000000008,66.86
rectangle_35_c2s,2587.0,1.16
rectangle_35_c2c,2586.0,1.16
rectangle_35_c2m,12425.548000000008,1.16
rectangle_35_c2s,2587.0,65.29
rectangle_35_c2c,2586.0,65.29
rectangle_35_c2m,12425.548000000008,65.29
rectangle_40_a1,5475.02,0.02
rectangle_40_a2,12424.09,0.16
rectangle_40_a3,17357.93,1.3
rectangle_40_a4,20901.96,1.3
rectangle_40_b1,16394.99,1.09
rectangle_40_b2,18148.8,103.04
rectangle_40_c1s,2587.0,1.42
rectangle_40_c1c,2586.0,1.42
rectangle_40_c1m,12272.308000000003,1.42
rectangle_40_c1s,2587.0,66.05
