result_key,surface_power [wh],runtime [sec]
rows_20_c2s,17718.0,67.19
rows_20_c2c,13856.0,67.19
rows_20_c2m,17925.372,67.19
rows_25_c1s,15573.0,1.16
rows_25_c1c,12336.0,1.16
rows_25_c1m,15974.003999999995,1.16
rows_25_c1s,15573.0,65.1
rows_25_c1c,12336.0,65.1
rows_25_c1m,15974.003999999995,65.1
rows_25_c2s,15573.0,1.17
rows_25_c2c,12336.0,1.17
rows_25_c2m,15974.003999999995,1.17
rows_25_c2s,15573.0,66.7
rows_25_c2c,12336.0,66.7
rows_25_c2m,15974.003999999995,66.7
rows_30_c1s,15463.0,1.17
rows_30_c1c,12254.0,1.17
rows_30_c1m,15852.947999999999,1.17
rows_30_c1s,15463.0,64.89
rows_30_c1c,12254.0,64.89
rows_30_c1m,15852.947999999999,64.89
rows_30_c2s,15463.0,1.17
rows_30_c2c,12254.0,1.17
rows_30_c2m,15852.947999999999,1.17
rows_30_c2s,15463.0,65.04
rows_30_c2c,12254.0,65.04
rows_30_c2m,15852.947999999999,65.04
rows_35_c1s,15353.0,1.17
rows_35_c1c,12172.0,1.17
rows_35_c1m,15731.891999999998,1.17
rows_35_c1s,15353.0,64.88
rows_35_c1c,12172.0,64.88
rows_35_c1m,15731.891999999998,64.88
rows_35_c2s,15353.0,1.16
