result_key,surface_power [wh],runtime [sec]
rectangle_25_c2c,2023.0000000000002,63.99
rectangle_25_c2m,2826.2199999999984,63.99
rectangle_30_a1,485.17,0.02
rectangle_30_a2,2078.26,0.16
rectangle_30_a3,3543.91,1.27
rectangle_30_a4,4260.8,1.27
rectangle_30_b1,4240.32,1.06
rectangle_30_b2,3887.56,83.85
rectangle_30_c1s,2668.0,1.21
rectangle_30_c1c,1914.0,1.21
rectangle_30_c1m,3235.781999999997,1.21
rectangle_30_c2s,2364.0,65.57
rectangle_30_c2c,1810.0,65.57
rectangle_30_c2m,2555.396,65.57
rectangle_35_a1,422.64,0.02
rectangle_35_a2,2036.57,0.17
rectangle_35_a3,3230.89,1.31
rectangle_35_a4,4102.41,1.3
rectangle_35_b1,2958.82,1.09
rectangle_35_b2,3600.55,103.1
rectangle_35_c1s,1630.0,1.35
rectangle_35_c1c,1169.0,1.35
rectangle_35_c1m,2419.436000000001,1.35
rectangle_35_c2s,2064.0,65.3
rectangle_35_c2c,1535.0,65.3
rectangle_35_c2m,2243.452999999998,65.3
rectangle_40_a1,364.42,0.02
rectangle_40_a2,1997.76,0.17
rectangle_40_a3,3157.43,1.3
rectangle_40_a4,3990.44,1.28
rectangle_40_b1,2931.1,1.08
rectangle_40_b2,3343.32,92.43
rectangle_40_c1s,1594.0,1.3
rectangle_40_c1c,1132.0,1.3
rectangle_40_c1m,2390.4359999999992,1.3
rectangle_40_c2s,1868.0,65.1
rectangle_40_c2c,1302.0,65.1
rectangle_40_c2m,2170.9479999999994,65.1
rectangle_45_a1,310.51,0.02
rectangle_45_a2,1136.17,0.16
rectangle_45_a3,2490.24,1.29
rectangle_45_a4,3827.8,1.27
rectangle_45_b1,2905.43,1.08
rectangle_45_b2,3062.7,87.81
rectangle_45_c1s,1546.0,1.33
rectangle_45_c1c,1098.0,1.33
rectangle_45_c1m,2361.516000000001,1.33
rectangle_45_c2s,1828.0,64.66
rectangle_45_c2c,1241.0,64.66
rectangle_45_c2m,2162.2769999999987,64.66
rectangle_50_a1,260.91,0.02
rectangle_50_a2,1094.84,0.16
rectangle_50_a3,2062.19,1.28
rectangle_50_a4,3463.17,1.28
rectangle_50_b1,2881.81,1.08
rectangle_50_b2,2762.68,92.77
rectangle_50_c1s,1507.0,1.27
rectangle_50_c1c,1061.0,1.27
rectangle_50_c1m,2332.676000000001,1.27
rectangle_50_c2s,1700.0,64.75
rectangle_50_c2c,1192.0,64.75
rectangle_50_c2m,2030.0299999999986,64.75
rectangle_55_a1,215.63,0.02
rectangle_55_a2,1057.1,0.16
rectangle_55_a3,2033.2,1.28
rectangle_55_a4,3295.41,1.28
rectangle_55_b1,2860.25,1.08
rectangle_55_b2,2589.78,87.84
rectangle_55_c1s,1483.0,1.28
rectangle_55_c1c,1026.0,1.28
rectangle_55_c1m,2303.995999999999,1.28
rectangle_55_c2s,1527.0,64.91
rectangle_55_c2c,1051.0,64.91
rectangle_55_c2m,1789.531,64.91
rectangle_60_a1,174.66,0.02
rectangle_60_a2,174.66,0.16
rectangle_60_a3,1599.8,1.29
rectangle_60_a4,2770.45,1.3
rectangle_60_b1,2234.81,1.08
rectangle_60_b2,2259.05,85.16
rectangle_60_c1s,1346.0,1.28
rectangle_60_c1c,989.0,1.28
rectangle_60_c1m,1874.375999999999,1.28
rectangle_60_c2s,1233.0,64.76
rectangle_60_c2c,846.0,64.76
rectangle_60_c2m,1515.213,64.76
rectangle_65_a1,138.0,0.02
rectangle_65_a2,138.0,0.16
rectangle_65_a3,1573.41,1.28
rectangle_65_a4,2496.17,1.29
rectangle_65_b1,2212.99,1.08
rectangle_65_b2,1909.88,84.03
rectangle_65_c1s,1304.0,1.28
rectangle_65_c1c,953.0,1.28
rectangle_65_c1m,1838.8760000000004,1.28
rectangle_65_c2s,1006.0,64.75
rectangle_65_c2c,655.0,64.75
rectangle_65_c2m,1302.7119999999993,64.75
rectangle_70_a1,105.66,0.02
rectangle_70_a2,105.66,0.16
rectangle_70_a3,621.54,1.29
rectangle_70_a4,2272.35,1.29
rectangle_70_b1,2193.74,1.08
rectangle_70_b2,1681.96,81.39
rectangle_70_c1s,1260.0,1.36
rectangle_70_c1c,917.0,1.36
rectangle_70_c1m,1803.5760000000016,1.36
rectangle_70_c2s,864.0,64.86
rectangle_70_c2c,567.0,64.86
rectangle_70_c2m,1082.8179999999998,64.86
rectangle_75_a1,77.63,0.02
rectangle_75_a2,77.63,0.16
rectangle_75_a3,77.63,1.29
rectangle_75_a4,1841.15,1.29
rectangle_75_b1,1559.58,1.08
